Name,Symbol,Market,Sector,Industry,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales (ttm),Price/book (mrq),Enterprise value/revenue,Enterprise value/EBITDA,Total ESG risk score,Environmental Risk Score,Social Risk Score,Governance Risk Score
McDonald's Corporation,MCD,DJI,Restaurants,Consumer Cyclical,145.3,192.82,30.89,24.15,8.72,7.6,NA,10.09,21.8,25,4,15,6
Walmart Inc.,WMT,DJI,Discount Stores,Consumer Defensive,368.49,437.63,24.74,23.92,4.69,0.69,5.4,0.82,12.8,28,4,18,7
"Merck & Co., Inc.",MRK,DJI,Drug Manufacturers—General,Healthcare,199.38,220.94,20.02,12.99,2.39,4.15,7.61,4.59,11.59,27,2,14,11
UnitedHealth Group Incorporated,UNH,DJI,Healthcare Plans,Healthcare,289.47,316.72,17.16,16.47,1.42,1.17,4.41,1.28,11.95,21,0,15,6
"Cisco Systems, Inc.",CSCO,DJI,Communication Equipment,Technology,196.08,185.72,18.41,14.74,2.42,3.88,5.49,3.67,11.48,12,1,6,6
"The Home Depot, Inc.",HD,DJI,Home Improvement Retail,Consumer Cyclical,286.42,319.48,26.45,23.71,5.57,2.55,NA,2.85,17.87,13,3,7,4
The Coca-Cola Company,KO,DJI,Beverages—Non-Alcoholic,Consumer Defensive,204.85,240.5,22.5,23.15,8.97,5.97,11.71,7.01,21.38,26,9,12,5
"The Travelers Companies, Inc.",TRV,DJI,Insurance—Property & Casualty,Financial Services,29.35,30.38,16.43,11.16,3.21,0.94,1.09,0.97,9.4,22,2,9,11
Apple Inc.,AAPL,DJI,Consumer Electronics,Technology,1670000,1670000,30.23,25.7,2.78,6.22,21.21,6.24,21.63,24,0,13,10
"Walgreens Boots Alliance, Inc.",WBA,DJI,Pharmaceutical Retailers,Healthcare,35.22,77.26,47.87,7.64,4.41,0.25,1.71,0.56,15.4,18,3,11,4
"The Goldman Sachs Group, Inc.",GS,DJI,Capital Markets,Financial Services,68.62,-48.74,10.59,8.9,1.87,1.85,0.88,-1.31,NA,31,1,14,16
